room_id;host_id;room_type;district;district-name;neighbourhood_group;reviews;review_scores_rating;review_scores_overall_satisfaction;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;accommodates;bedrooms;price;minstay;latitude;longitude
278286;1452720;Private room;9;Alsergrund;905;48;2.2;4.8;4.2;4.4;4.7;4.9;4.3;2;1;59;3;48.224326;16.357004
546999;2074463;Private room;9;Alsergrund;902;7;2.2;4.3;3;4.9;4;4.5;4.2;2;1;37;3;48.223503;16.365201
5514700;22072627;Private room;9;Alsergrund;904;5;4.9;4.4;4.5;4.5;4.4;3.6;4.3;2;1;51;2;48.226394;16.353791
6527073;34136313;Private room;9;Alsergrund;904;3;2.9;4.8;2.5;4.2;4.2;4;4.9;2;1;33;1;48.226342;16.350905
7154476;37468348;Private room;9;Alsergrund;905;4;2.9;3.8;3;4.6;3.8;4.3;4.6;2;1;29;1;48.219313;16.358975
1502484;8031874;Private room;9;Alsergrund;905;47;5;4.7;4.4;4.5;4.1;4.6;4.3;2;1;59;2;48.218794;16.361072
547705;2692427;Private room;9;Alsergrund;902;18;4.7;4.1;3.7;4;4;4;4.1;2;1;40;5;48.220062;16.364288
6353925;1405577;Private room;9;Alsergrund;901;1;2.2;4.8;2.7;4.8;3.7;4.1;4.5;2;1;34;1;48.229503;16.354497
7400695;11205505;Private room;9;Alsergrund;904;0;3.4;4.7;4.6;4.1;4.7;5;4.1;2;1;38;1;48.224028;16.35089
4331465;22488988;Private room;7;Neubau;704;2;4.7;4.2;2.6;4.2;4.5;5;4.9;2;1;33;1;48.202948;16.341029
3369664;16338321;Private room;16;Ottakring;1601;0;2.6;4.9;5;4.2;4.2;3.8;4.2;2;1;73;1;48.209218;16.335001
2920209;14070533;Entire home/apt;9;Alsergrund;903;1;2.7;4.5;2.8;4.1;3.6;3.9;4.8;2;0;102;2;48.215824;16.348721
3602587;14391694;Entire home/apt;17;Hernals;1704;0;2.6;5;5;4.7;4.8;4.2;4.7;2;0;68;1;48.230801;16.309372
370602;1867872;Entire home/apt;3;Landstrasse;303;20;4.2;4.1;2.5;4.8;4.3;3.6;4.6;2;1;78;3;48.193871;16.385101
612949;2447783;Entire home/apt;2;Leopoldstadt;202;48;3.3;4.6;4.9;5;5;4.4;3.7;4;1;59;2;48.224785;16.386315
5793424;4304771;Entire home/apt;2;Leopoldstadt;202;0;4.9;4.4;4;5;3.5;4.3;3.8;4;1;80;14;48.22459;16.388172
272589;1426583;Entire home/apt;4;Wieden;401;0;2.8;4;4.7;4.7;3.8;4.9;4.8;3;1;107;3;48.19743;16.36622
42532;185765;Private room;18;Waehring;1802;5;2.9;4.6;3.3;4;3.7;4.6;3.3;1;1;25;1;48.228562;16.337756
4779690;17007536;Entire home/apt;15;Rudolfsheim-Fuenfhaus;1501;2;2.3;4.8;3.1;4.8;3.7;5;3.4;2;1;51;1;48.202036;16.326629
2564750;13130183;Entire home/apt;2;Leopoldstadt;203;0;3.6;4.1;2.8;4.6;4.2;3.9;4;2;1;62;;48.220744;16.371625
2498237;12623764;Entire home/apt;3;Landstrasse;301;2;2;4.1;4.8;4.2;4.4;4.1;4.8;3;1;85;2;48.210968;16.392639
4303305;22337404;Private room;15;Rudolfsheim-Fuenfhaus;1504;0;3.1;4.5;4.4;4;3.7;3.5;3.2;1;1;43;1;48.186744;16.33222
6955967;23572740;Private room;2;Leopoldstadt;208;0;4.6;3.9;3.7;4.3;4.6;3.6;3.2;2;1;28;2;48.200978;16.437944
6625331;34676803;Private room;2;Leopoldstadt;207;4;3.5;4.1;2.6;4.8;4.5;4.8;4.9;2;1;42;;48.220802;16.398566
3816741;19626369;Entire home/apt;18;Waehring;1802;13;2.2;4.7;2.5;4.8;4.6;3.5;4.4;2;0;67;2;48.233183;16.349608
367256;1701907;Entire home/apt;4;Wieden;402;11;2.3;4.7;2.8;4.5;4.4;4.4;4;2;3;101;2;48.190893;16.378341
4937916;11843762;Private room;1;Innere Stadt;107;31;3.3;3.6;3.4;4.5;3.7;4.3;5;2;1;66;1;48.208988;16.37206
543522;2609882;Private room;2;Leopoldstadt;203;16;2.2;4;3.8;4.5;4.8;4.4;4.2;2;1;34;7;48.221773;16.373939
5989091;31095026;Entire home/apt;7;Neubau;705;0;4.3;4.9;4.6;4.2;4.2;4.8;4.3;5;2;723;2;48.205006;16.344115
600477;540246;Entire home/apt;17;Hernals;1702;50;3.8;4.8;3.7;4.8;4.5;3.8;3.4;3;1;67;1;48.21389;16.338645
7067125;37054160;Private room;9;Alsergrund;904;2;5;4.5;4.9;4.8;4.7;4.6;4.1;2;1;28;1;48.228062;16.353175
2196933;11205505;Private room;9;Alsergrund;904;4;4.8;3.6;2.6;4.5;4.6;4.2;4.3;2;1;30;1;48.224414;16.351219
7317816;38336899;Private room;9;Alsergrund;903;1;3;4.9;5;5;4.3;3.6;4.1;2;1;36;1;48.216542;16.344189
3608575;18184234;Private room;9;Alsergrund;904;12;2.1;4.2;3.2;4.5;4;4.5;4.1;2;1;28;3;48.224615;16.351787
7489993;4433691;Private room;9;Alsergrund;904;0;3.4;3.5;3.7;4.4;3.5;4.7;4.9;2;1;34;2;48.225257;16.351573
584975;2882549;Private room;9;Alsergrund;902;6;3.7;3.9;4;4.1;4.1;4.4;5;2;1;28;5;48.220875;16.361963
3871678;8031874;Private room;9;Alsergrund;905;65;5;3.5;3.5;4.8;4.3;4.2;4.2;2;1;55;2;48.218163;16.360208
6419039;4759856;Private room;9;Alsergrund;905;4;3.2;4.8;4.7;5;3.7;4.8;4.9;2;1;32;1;48.219656;16.356964
5001989;25794028;Private room;9;Alsergrund;902;2;4;4.3;3.8;4;4.7;3.8;4.7;2;1;46;3;48.222645;16.367236
6759811;33522532;Private room;9;Alsergrund;904;1;4.4;4.3;3.1;4.9;4.3;3.7;4.1;5;1;51;1;48.227893;16.352021
7268011;38055090;Private room;9;Alsergrund;906;1;4.3;3.8;3.6;4.9;4.9;4.7;4.3;2;1;44;1;48.216496;16.356228
7232825;29777876;Private room;9;Alsergrund;904;0;3;5;4.2;4.4;3.7;4.8;4.7;2;1;25;5;48.227142;16.354714
7169634;37552563;Private room;9;Alsergrund;905;3;4.9;5;4.9;4.5;3.8;4.7;4.2;4;1;17;1;48.217551;16.358928
5365689;9139108;Private room;9;Alsergrund;905;12;3.5;3.8;4.1;4.5;3.6;4.3;5;2;1;40;1;48.223997;16.358219
5055193;13438855;Private room;9;Alsergrund;904;0;4.3;4.8;2.6;4.4;5;4;4.5;2;1;40;2;48.223591;16.352706
3573328;17994033;Private room;9;Alsergrund;904;3;3.4;4.8;2.8;4.3;4.6;4.7;4.3;2;1;28;2;48.225485;16.351869
6922787;15416875;Private room;9;Alsergrund;902;0;3.9;4;3.3;4.2;3.9;4.7;4;3;1;42;3;48.224139;16.365496
7228998;37815613;Private room;9;Alsergrund;901;0;2.7;3.7;2.6;4.6;4.7;4.9;4.9;2;1;40;2;48.225969;16.359379
6971849;36555894;Private room;9;Alsergrund;904;0;4.6;4;3.3;4.8;3.8;4.1;4.6;1;1;28;1;48.22355;16.350583
7093079;9279957;Private room;9;Alsergrund;902;0;2.3;4.9;2.6;4.6;3.6;3.5;4.9;2;1;34;2;48.222159;16.361192
6930381;33634177;Private room;9;Alsergrund;905;0;2;4.4;4.9;4.5;4.9;4.4;4;2;1;51;7;48.218273;16.362701
3432989;5841341;Private room;9;Alsergrund;901;22;4.2;4.6;3.1;4.9;3.8;5;4.2;2;1;55;2;48.22725;16.355911
6365400;33109654;Private room;9;Alsergrund;903;0;2.6;3.7;3.4;4.1;3.7;3.8;4.7;2;1;28;1;48.215471;16.343794
6485927;33880990;Private room;9;Alsergrund;905;5;3.4;3.7;3.6;4.8;4.1;4.1;4.1;2;1;40;1;48.21925;16.358232
2064265;10561845;Private room;9;Alsergrund;905;41;4.2;4.3;4;4.1;4.1;4;4.3;2;1;85;3;48.217229;16.362544
2175886;11097841;Private room;9;Alsergrund;902;0;2.4;4.9;4.5;4.8;3.7;3.5;4;3;1;34;1;48.223;16.361501
6922152;3273012;Private room;9;Alsergrund;906;0;2.2;4.5;4.6;5;3.9;3.9;4.5;2;1;51;1;48.218821;16.357419
7065539;37044793;Private room;9;Alsergrund;904;0;4.4;4.8;2.6;4.2;3.5;4.6;4.9;2;1;34;3;48.223483;16.352736
1341701;7277525;Private room;9;Alsergrund;902;10;4.2;3.5;4.2;4.6;4.5;4.8;4.4;2;1;25;5;48.22425;16.366835
5382361;7276718;Private room;9;Alsergrund;903;0;3.6;5;3.9;4.4;4.7;4.5;4.7;2;1;40;1;48.218202;16.345848
5322320;12783006;Private room;9;Alsergrund;901;0;2.2;4;2.8;4.4;4.5;4.4;4.5;4;1;28;1;48.224499;16.3567
5128534;13745925;Private room;9;Alsergrund;904;0;4.1;3.6;4;4.4;4.4;3.6;4.3;2;1;56;1;48.227933;16.351568
336301;1711803;Private room;9;Alsergrund;904;0;2.9;4.7;3.7;4.3;3.6;5;4.7;5;1;88;1;48.226103;16.353152
5769059;16158523;Private room;9;Alsergrund;902;1;3.5;3.5;4.4;4;4.4;4.8;4.1;2;1;40;21;48.224974;16.366363
6444019;33339669;Private room;9;Alsergrund;902;2;4;4.6;4.1;4.9;5;4.5;4.2;2;1;45;1;48.221519;16.36633
6204542;32125377;Private room;9;Alsergrund;901;2;5;4.8;4.4;4;3.9;3.6;4;2;1;33;1;48.225666;16.35891
7165340;37528378;Private room;9;Alsergrund;904;0;3.7;4.3;4;4.2;3.6;4.4;4;2;1;36;1;48.221923;16.350742
5627264;8031874;Private room;9;Alsergrund;905;9;3.7;4.6;3.1;4.1;4.7;4.4;4.6;2;1;59;2;48.217835;16.361516
6801733;20696360;Private room;9;Alsergrund;902;0;2.3;3.9;2.9;4.7;4.2;4.2;4.4;2;1;45;1;48.219624;16.363354
6339349;19028702;Private room;9;Alsergrund;902;2;3.5;3.5;3.9;4.8;3.5;4;4.6;2;1;28;2;48.223047;16.361299
1302853;7083120;Private room;9;Alsergrund;905;0;2.2;4.5;4.3;4;3.7;4.9;4.3;2;1;45;1;48.216847;16.362959
5628588;29170366;Private room;9;Alsergrund;902;0;3;4.8;2.6;4.7;5;3.7;4.1;2;1;59;1;48.226148;16.364543
4483937;21081862;Private room;9;Alsergrund;906;0;5;3.8;4;5;4;4.4;4;2;1;28;1;48.21604;16.351375
4675874;24184974;Private room;9;Alsergrund;901;0;2.3;3.8;4.5;4.3;4.3;4.9;4;4;1;73;1;48.225508;16.361213
6330708;30435651;Private room;9;Alsergrund;904;6;4.8;4.7;3.9;4.4;3.9;4.9;4.8;2;1;34;1;48.222637;16.348901
6657115;34840903;Private room;9;Alsergrund;901;0;3.2;5;2.8;4.8;4.1;4.9;4.8;1;1;40;1;48.225983;16.355353
5506767;14855879;Private room;9;Alsergrund;905;8;3.5;5;3.5;4.6;5;3.8;4.8;4;1;55;;48.217286;16.360289
6418355;33483008;Private room;9;Alsergrund;901;2;2.4;4.8;4.6;4.5;3.6;3.7;4.7;2;1;36;1;48.228583;16.356145
3984997;8570851;Private room;9;Alsergrund;904;0;2.2;4.5;2.5;4.6;3.9;4.2;4.1;3;1;55;1;48.229587;16.353345
7395503;38748100;Private room;9;Alsergrund;902;0;2.9;4.2;3;5;4.9;3.6;4.5;2;1;40;1;48.227582;16.361893
911535;2701207;Private room;9;Alsergrund;905;0;2.8;4.5;3.5;4;3.8;4.3;5;3;1;54;3;48.217252;16.361733
6388464;33302251;Private room;9;Alsergrund;902;2;4.2;4.2;2.8;4.7;3.9;3.6;4.3;2;1;28;2;48.228394;16.362026
4401372;20596581;Private room;9;Alsergrund;906;0;2.9;3.6;3.3;4.5;3.9;3.6;4.6;2;1;56;1;48.214984;16.351455
4920124;25338888;Private room;9;Alsergrund;904;8;4.4;4.9;4.3;4.8;4.2;3.6;4.6;2;1;56;1;48.224094;16.352283
6180304;32052868;Private room;9;Alsergrund;901;0;2.5;3.5;3.7;4.5;4.7;3.5;5;2;1;45;2;48.227701;16.357983
3930773;20363206;Private room;9;Alsergrund;905;9;3.7;5;3.3;4.2;4.1;4.7;4.3;2;1;51;1;48.219639;16.360146
5136426;26556191;Private room;9;Alsergrund;902;0;4.8;3.9;5;4.6;4.7;3.8;4.4;2;1;51;2;48.225378;16.366561
7153761;11261239;Private room;9;Alsergrund;902;0;3.5;4.3;3.3;4.4;4.9;4.6;4.5;2;1;40;1;48.222582;16.364628
4782661;24659016;Private room;9;Alsergrund;905;0;2.6;5;3.3;4.4;4.2;4.2;4.5;2;1;34;1;48.220252;16.360294
6891624;4838804;Private room;9;Alsergrund;902;1;3;3.9;3.6;4.5;4.8;4.7;4.8;4;1;55;;48.2236;16.364502
6009413;20506720;Private room;9;Alsergrund;904;4;2;4.6;5;4.5;3.6;4.1;5;3;1;45;2;48.226715;16.351791
5967330;3408178;Private room;9;Alsergrund;903;0;3.5;4.2;4;4.8;4.7;4.3;4.9;1;1;34;1;48.220421;16.352411
2059199;2418146;Private room;20;Brigittenau;2003;16;2.7;4.8;3;5;3.7;5;3.3;3;1;47;3;48.229041;16.374735
7315870;38215090;Private room;20;Brigittenau;2005;0;5;4.8;3.1;4.4;3.6;5;3.5;2;1;34;14;48.229945;16.365815
6967537;21044280;Private room;20;Brigittenau;2005;0;3.3;4.8;3.6;4.8;4.3;4.3;4.8;3;1;28;1;48.23028;16.364777
6476645;33456560;Private room;19;Doebling;1904;6;3.8;3.9;3.2;4.1;5;4.8;4.7;2;1;41;1;48.234979;16.348989
2830315;5816759;Private room;19;Doebling;1910;21;4.3;4.2;4.5;4;4.5;3.8;4.7;3;1;34;1;48.251726;16.293211
6430873;4584761;Private room;20;Brigittenau;2006;0;4.9;4.4;3.7;4.6;3.7;3.5;4;1;1;40;1;48.232899;16.363505
1331068;1993393;Private room;19;Doebling;1902;6;2.2;4.5;4.3;4.9;4.7;3.9;4.8;2;1;45;1;48.256905;16.365846
2683123;13735323;Private room;20;Brigittenau;2007;10;4.3;4.7;4.6;4.3;4.7;4.1;4.3;3;1;45;3;48.24495;16.383342
5506087;4182713;Private room;20;Brigittenau;2002;1;3.5;4.8;3;4.9;4.8;4.1;4.5;2;1;40;1;48.240096;16.385974
3732410;19077355;Private room;19;Doebling;1904;0;4.2;5;3.4;4.4;3.8;3.7;3.8;1;1;34;1;48.240739;16.354751
7088382;31541706;Private room;9;Alsergrund;901;1;5;4.7;4.4;5;4.9;4.9;4.7;2;1;35;1;48.231766;16.356314
7229201;37744863;Private room;19;Doebling;1909;0;2.2;3.9;4;4.6;4.8;4.4;3.2;1;1;33;1;48.237786;16.346078
4928101;24173707;Private room;19;Doebling;1904;8;2.8;3.9;3.1;4.7;4.5;4.4;4.5;2;1;23;1;48.233428;16.355622
6834313;2038916;Private room;20;Brigittenau;2003;0;3.2;3.7;4.3;4.1;4.1;3.8;4.5;1;1;37;1;48.229082;16.372911
2144586;10946557;Private room;19;Doebling;1904;40;3.5;4.2;2.5;4.3;4.7;4;3.9;2;1;25;4;48.232992;16.352221
